step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,,,,,The Fluidity of Process Tied to Tools.,Yovani Roman,,,,,,,,
2,simon-rodriguez-discurso,0.4937740075364525,0.4869112948245874,1.44,,How do tools participate in the process through which concepts become meaningful?,"Concepts aren't fixed; we map the world through social conventions, making them fluid and, to some extent, arbitrary..
",,Learn more,blank_template-learn-more.md,,,,,
3,socrotes,0.4999999999999999,0.5,0.67,,What does a tool actually allow us to do?,"Written messages were originally communicational substitutes for spoken messages. ",,Learn more,blank_template-step3-layer1.md,Go deeper,blank_template-go-deeper.md,,,
4,img2305,0.48405390219114586,0.48474776701461125,1.2,,"Because these parts are interconnected, the tools and processes used to educate and communicate can also participate in shaping the social body.","Society operates as an organic system. ",,Learn more,blank_template-step4-layer1.md,,,,,
5,simon-rodriguez-introduccion,0.5121038692820724,0.6616159161353545,1.44,,What gives shapes/produces/ makes intelligible our experience of the world?,Social education gives the signifier a shared signified through experience and collective practice.,,Learn more,blank_template-step5-layer1.md,,,,,
6,simon-rodriguez-imprenta,0.5,0.5,1,,What happens when beliefs/ideas change the process itself?,"The process does not end when an idea is written down. The way a tool presents that idea affects how it is interpreted, practiced, and understood. This raises the question of how different material forms; images, texts, knots, and visual structures; change the way knowledge is communicated.",,Learn more,blank_template-step6-layer1.md,,,,,
7,,,,,,Creation: Material Constraints & Expansion,By: Colt James,,,,,,,,
8,haptic-khipu-khipu,0.5,0.5,1,,Creation: Material Constraints & Expansion,"How the medium itself has restrictions while simultaneously opening up new forms of expression. ",,,,,,,,
9,haptic-khipu-khipu,0.48585567439368976,0.4453301692122378,2.0735999999999994,,Primary Object: Khipus,"Khipus are these really sophisticated record keeping and communication objects made of knotted and colored strings used by ancient Andean civilizations, most famously the Inca Empire.

Click learn more to learn about its material constraints and expansion!",,Learn more,blank_template-primary-objects-material.md,,,,,
10,codex-selden-anute,0.5207093127073742,0.5653851733763436,1.44,,Primary Object: Codex Selden/Añute,"A rare 16th-century Mesoamerican pictorial manuscript of Mixtec origin. A 16 foot long strip of deer hide coated with gesso, folded up like an accordion. 

Click learn more to learn about its material constraints and expansion!",,Learn more,blank_template-codex-seldenanute-material.md,,,,,
11,guaman-poma-nueva,0.5,0.5,1,,Primary Object: The Nueva Corónica,"A 1,200 page handwritten and illustrated letter created around 1615 by the indigenous Andean author Felipe Guaman Poma de Ayala. It was written and addressed to King Philip III of Spain and it includes over 300 pages of full drawings, it was intended to record Andean history. and expose the severe abuse of the Spanish colonial government. 

Click learn more to learn about its material constraints and expansion!",,Learn more,blank_template-the-nueva-coronica.md,From The First New Chronicle And Good Government (Translation),blank_template-the-writing-section.md,,,
12,guaman-poma-nueva-2,0.5,0.5,1,,Materiality as a Driving Force of Meaning,"An overview panel of the Kihpu, Codex Selden/Añute, and The Nueva Corónica. 

Click learn more! ",,Learn more,blank_template-materiality-as-a.md,,,,,
13,telar-placeholder,0.5,0.5,1,,Can we tie Concrete Poetry to Cultural Techniques?,"Concrete Poetry relates to the material world and in culture there is always the element of the real world and the abstract. ",,Learn more,blank_template-step13-layer1.md,Go deeper,blank_template-step13-layer2.md,,,
14,florentine-codex-book,0.2569405046119621,0.44487983918705726,0.8999999999999999,,Human Brain and poetry,"Poetry comes from the mind, intellect or the brain in itself?
",,Cultural Techniques and Creation,blank_template-human-brain-and.md,,,,,
15,florentine-codex-book-3,0.5173094954204728,0.43631810555315126,1.1574074074074074,,"Cultural techniques & Creation: Language como expresión de religiosidad ","Spanish Transcription
(López Austin & García Quintana 2000)

""lo que ello se trata, más de aquellos que son naturales y acostumbrados a este lenguaje, de manera que seguramente se canta todo lo que él quiere, sea guerra o paz, loor suyo o contumelia de Jesucristo, sin que de los demás se pueda entender.""
Esta presentación de el lenguaje como medio de transmisión religiosa concuerda con las ""cultural techniques"" que discutimos en esta etapa del trabajo de grupo.

Works Cited and References
Sahagún, Bernardino de. Historia general de las cosas de Nueva España. Transcribed and edited by Alfredo López Austin and Josefina García Quintana. 3rd ed. Mexico City: Cien de México / Consejo Nacional para la Cultura y las Artes, 2000.  Available at Digital Florentine Codex/Códice Florentino Digital, edited by Kim N. Richter, Alicia Maria Houtrouw, Kevin Terraciano, Jeanette Peterson, Diana Magaloni, and Lisa Sousa, bk. 2, fol. 137v. Los Angeles: Getty Research Institute, 2023.  https://florentinecodex.getty.edu/en/book/2/folio/137v . Accessed 9 September 2026.

","Sahagún, Bernardino de. Historia general de las cosas de Nueva España. Transcribed and edited by Alfredo López Austin and Josefina García Quintana. 3rd ed. Mexico City: Cien de México / Consejo Nacional para la Cultura y las Artes, 2000.  Available at Digital Florentine Codex/Códice Florentino Digital, edited by Kim N. Richter, Alicia Maria Houtrouw, Kevin Terraciano, Jeanette Peterson, Diana Magaloni, and Lisa Sousa, bk. 2, fol. 137v. Los Angeles: Getty Research Institute, 2023.  https://florentinecodex.getty.edu/en/book/2/folio/137v . Accessed 9 September 2026.",Cultural Techniques and Creation,blank_template-book-2-folio.md,,,,,
16,florentine-codex-book-2,0.5,0.5,1,,How are these tools related to the body?,"Movement, embodied knowledge in writing.","Florentine Codex, Book 2 -fol. 7v",,blank_template-objects-as-tools.md,,,,,
17,florentine-codex-book-4,0.5,0.5,1,,"Are the use of reed pens, and the ""imprenta"" be considered as tools? in the creation of important messages?","Yes, anything that the body and the mind uses to extend the knowledge. In writing important messages and laws.",https://florentinecodex.getty.edu/book/10/folio/142r,Tools are anything used to convey a message or to make sense of an announcement or law,blank_template-reed-pens-and.md,,,,,
18,haptic-khipu-khipu,0.5,0.5,1,,How can a tool give someone control over knowledge?,"A khipu could store information through cords, colors, and knots. Since using and interpreting it required specific knowledge, the tool made certain people especially important in the process of recording and communicating information.",,Learn more,blank_template-step18-layer1.md,,,,,
19,doctrina-christiana-lima,0.5,0.5,1,,How can a tool change how far knowledge can travel?,Printing made it possible to reproduce the same information and share it with more people. The tool changed how quickly and widely knowledge could move.,,Learn more,blank_template-step19-layer1.md,,,,,
20,valades-rhetorica-christiana,0.4912049252418643,0.4753997539975406,1,,What happens when images become part of the teaching process?,Images can help organize ideas and make information easier to understand or remember. The visual form becomes part of how the lesson is taught.,,Learn more,blank_template-step20-layer1.md,Go deeper,blank_template-step20-layer2.md,,,
21,muisca-painted-manta,0.49361660771070137,0.49359755705424263,0.9,,How can an object itself become a tool for communication?,The Musica painted manta carries meaning through its material and painted design. The object itself becomes part of the way the message is communicated.,,Learn more,blank_template-step21-layer1.md,,,,,
22,codex-mendoza-fol,0.5008627113261026,0.4927352307637976,0.9,,What happens when a tool has to communicate across cultures?,The Codex Mendoza combines Indigenous visual systems with written explanations for a Spanish audience. The process changes as knowledge moves between different ways of communicating.,,Learn more,blank_template-step22-layer1.md,Go deeper,blank_template-step22-layer2.md,,,
23,codex-selden-anute-2,0.5052770448548811,0.5811808118081172,1,,How does the visual path change the reading process?,"The reader has to follow the images and directional lines instead of normal written lines, making reading more active and engaging. ",,Learn more,blank_template-step23-layer1.md,,,,,
24,haptic-khipu-khipu,0.48404747508062107,0.48308733087330846,1.2,,How do cords and knots change what reading requires?,Reading becomes physical and tactile. It relies on touch and structure as well as trained interpretation rather than written words.,,Learn more,blank_template-step24-layer1.md,,,,,
25,guaman-poma-nueva,0.5,0.5,1,,How do images and words change how Guaman Poma persuades?,The images support his written argument and give the reader another way to understand the message. It adds another layer to the experience.,,Learn more,blank_template-step25-layer1.md,,,,,
26,vanguardia-y-concretismo,0.47340291006722,0.4984238010718608,0.9,,How does visual form change the reading process?,"The placement and shape of the words guide the readers eye. It forms a picture which becomes a part of the poem in itself. It becomes part of the meaning. ",,Learn more,blank_template-step26-layer1.md,,,,,
27,florentine-codex-book-7,0.48065083553210175,0.5455104551045517,1,,How does book 12 guide the reader through conquest?,"it combines narrative and images to provide the reader with more than one perspective of conquest. ",,Learn more,blank_template-step27-layer1.md,,,,,
28,florentine-codex-book-6,0.565963060686014,0.4630996309963111,1,,How do image and text shape the reading experience?,"The image gives an immediate visual impression. The text adds onto that detail and context allowing the reader to experience both seeing along with reading. ",,Learn more,blank_template-step28-layer1.md,,,,,
29,,,,,,Tools Hidden In Plain Sight,Leonardo Lopez,,,,,,,,
30,codex-mendoza-fol-3,0.5,0.5,1.0050000000000001,,How Are Concrete Poetry And Codex Mendoza Revealing Meanings in Their Visual Structure?,"They reveal meanings in their visual structures by using spatial awareness, the arrangement of the figures, the intention of which the figures face, and symbols. The visual storytelling is dynamic, as it's ever-changing in the viewer's eyes. One person can have a totally different takeaway and understanding of what they read in this structure of telling. Compared to what we know today with static word structures, we all walk away with practically the same ideas from what was consumed.",,Learn more,blank_template-step30-layer1.md,,,,,
31,codex-mendoza-fol-4,0.5,0.5,1,,How Does Codex Mendoza Change The Way We Consume Content?,"It changes the way we see content by actively using our eyes and brain as we scan the whole page for clues. We are constantly trying to connect the dots while reading the content. We aren't simply consuming it as we would with words on a page, as displayed here. We are actively engaged as we decipher the content. We become a part of the content, as we aren't simply a bystander/viewer anymore.",,Learn more,blank_template-step31-layer1.md,,,,,
32,codex-mendoza-fol-5,0.5,0.5,1,,Is The Codex Mendoza Just Chaotic?,"No. The Codex Mendoza is flexible and can be many things. While it is dynamic in nature, it can also be static and fixed, like books we know today. This is the beauty of the Codex Mendoza; it doesn't have to be one way or one thing; it can be many things.",,Learn more,blank_template-step32-layer1.md,,,,,
33,codex-mendoza-fol-6,0.5,0.5,1,,Can The Codex Mendoza Be Shared In Many Ways?,"Yes. We have seen it without structure, with structure, with words, and now with a loose structure. The Codex Mendoza is highly flexible. It is basically up to how far your imagination can go. While this is still dynamic, it gives just enough structure to not completely lose the reader. Using simple dotted lines every so often without completely holding the hand of the reader.",,Learn more,blank_template-step33-layer1.md,,,,,
34,codex-mendoza-fol,0.5000000000000007,0.4999999999999999,1,,Is The Codex Mendoza The Original Concrete Poetry?,"Semasiographic system, otherwise known as the Codex Mendoza, simply means that the art/images are a way of communicating. A form of text. Concrete poetry is a reflection of the Codex Mendoza, as it uses visual cues, structure, spacing, etc., to communicate.",,Learn more,blank_template-step34-layer1.md,,,,,true
35,codex-mendoza-fol-2,0.5,0.5,1,,How Does The Arrangement In Codex Mendoza Work As A Tool Comparable To Concrete Poetry?,"The arrangement in Codex Mendoza uses spatial awareness by placing every figure, glyph, and motif in special arrangements. They all have their specific and precise placement on the page as they play a part in the bigger picture of the Codex. With this deliberate spacing, the hidden-in-plain-sight organization of the glyphs works to show how effective these are as a tool. All that being said, both the concrete poetry and the codex work as a way for the reader to explore the content and figure it out as a puzzle of sorts. Rather than the straightforward linear/one way passage of reading left to right, top to bottom.",,Learn more,blank_template-step35-layer1.md,,,,,
